"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.26N-2.34",2,"yellow",109,77,158
"E29.34N-1.6",2,"yellow",109,77,158
"E29.36N-2.69",2,"yellow",109,77,158
"E29.47N-2.77",2,"yellow",109,77,158
"E29.92N-1.7",2,"yellow",109,77,158
"E29.93N-1.67",2,"yellow",109,77,158
"E29.35N-1.76",2,"yellow",109,77,158
"E29.27N-2.26",2,"yellow",109,77,158
"E29.47N-2.75",2,"yellow",109,77,158
"E29.55N-1.43",2,"yellow",109,77,158
"E29.43N-2.68",2,"yellow",109,77,158
"E29.47N-2.68",2,"yellow",109,77,158
"E29.52N-1.81",2,"yellow",109,77,158
"E29.51N-1.81",2,"yellow",109,77,158
"E29.36N-1.77",2,"yellow",109,77,158
"E29.2N-2.4",2,"yellow",109,77,158
"E29.41N-1.71",2,"yellow",109,77,158
"E29.74N-1.57",2,"yellow",109,77,158
"E29.48N-2.75",2,"yellow",109,77,158
"E29.37N-2.32",2,"yellow",109,77,158
"E29.44N-1.56",2,"yellow",109,77,158
"E29.56N-1.55",2,"yellow",109,77,158
"E29.53N-1.52",2,"yellow",109,77,158
"E29.54N-2.69",2,"yellow",109,77,158
"E29.79N-1.55",2,"yellow",109,77,158
"E29.8N-1.55",2,"yellow",109,77,158
"E29.87N-1.55",2,"yellow",109,77,158
"E29.43N-1.89",2,"yellow",109,77,158
"E29.48N-1.89",2,"yellow",109,77,158
"E29.4N-2.4",2,"yellow",109,77,158
"E29.99N-1.59",2,"yellow",109,77,158
"E29.39N-2.51",2,"yellow",109,77,158
"E29.51N-1.58",2,"yellow",109,77,158
"E29.45N-2.72",2,"yellow",109,77,158
"E29.44N-2.7",2,"yellow",109,77,158
"E29.52N-1.52",2,"yellow",109,77,158
"E29.59N-1.6",2,"yellow",109,77,158
"E29.38N-1.64",2,"yellow",109,77,158
"E29.39N-1.63",2,"yellow",109,77,158
"E29.46N-2.65",2,"yellow",109,77,158
"E29.22N-2.55",2,"yellow",109,77,158
"E29.38N-2.69",2,"yellow",109,77,158
"E29.38N-2.67",2,"yellow",109,77,158
"E29.43N-2.58",2,"yellow",109,77,158
"E29.95N-1.58",2,"yellow",109,77,158
"E29.47N-2.4",2,"yellow",109,77,158
"E29.18N-2.5",2,"yellow",109,77,158
"E29.57N-1.41",2,"yellow",109,77,158
"E29.73N-1.55",2,"yellow",109,77,158
"E29.95N-1.57",2,"yellow",109,77,158
"E29.87N-1.56",2,"yellow",109,77,158
"E29.43N-2.47",2,"yellow",109,77,158
"E29.5N-1.81",2,"yellow",109,77,158
"E29.47N-2.43",2,"yellow",109,77,158
"E29.56N-2.47",2,"yellow",109,77,158
"E29.79N-1.52",2,"yellow",109,77,158
"E29.86N-1.52",2,"yellow",109,77,158
"E29.54N-1.66",2,"yellow",109,77,158
"E29.49N-2.58",2,"yellow",109,77,158
"E29.97N-1.5",2,"yellow",109,77,158
"E29.73N-1.56",2,"yellow",109,77,158
"E29.51N-2.38",2,"yellow",109,77,158
"E29.5N-2",2,"yellow",109,77,158
"E29.53N-1.97",2,"yellow",109,77,158
"E29.38N-1.94",2,"yellow",109,77,158
"E29.45N-2.45",2,"yellow",109,77,158
"E29.39N-1.92",2,"yellow",109,77,158
"E29.44N-2.64",2,"yellow",109,77,158
"E29.37N-1.63",2,"yellow",109,77,158
"E29.38N-1.63",2,"yellow",109,77,158
"E29.4N-2.46",2,"yellow",109,77,158
"E29.58N-2.46",2,"yellow",109,77,158
"E29.57N-1.47",2,"yellow",109,77,158
"E29.52N-2.4",2,"yellow",109,77,158
"E29.56N-1.69",2,"yellow",109,77,158
"E29.57N-1.66",2,"yellow",109,77,158
"E29.43N-1.65",2,"yellow",109,77,158
"E29.34N-2.64",2,"yellow",109,77,158
"E29.57N-1.58",2,"yellow",109,77,158
"E29.39N-2.62",2,"yellow",109,77,158
"E29.37N-1.83",2,"yellow",109,77,158
"E29.39N-2.79",2,"yellow",109,77,158
"E29.54N-1.8",2,"yellow",109,77,158
"E29.34N-1.76",2,"yellow",109,77,158
"E29.45N-2.58",2,"yellow",109,77,158
"E29.59N-1.75",2,"yellow",109,77,158
"E29.52N-2.58",2,"yellow",109,77,158
"E29.52N-2.57",2,"yellow",109,77,158
"E29.5N-2.56",2,"yellow",109,77,158
"E29.46N-2.52",2,"yellow",109,77,158
"E29.46N-2.48",2,"yellow",109,77,158
"E29.16N-2.52",2,"yellow",109,77,158
"E29.17N-2.51",2,"yellow",109,77,158
"E29.34N-2.51",2,"yellow",109,77,158
"E29.33N-2.5",2,"yellow",109,77,158
"E29.17N-2.49",2,"yellow",109,77,158
"E29.96N-1.6",2,"yellow",109,77,158
"E29.97N-1.6",2,"yellow",109,77,158
"E29.47N-1.61",2,"yellow",109,77,158
"E29.53N-1.53",2,"yellow",109,77,158
"E29.89N-1.49",2,"yellow",109,77,158
"E29.31N-2.3",2,"yellow",109,77,158
"E29.56N-2.81",2,"yellow",109,77,158
"E29.54N-2.79",2,"yellow",109,77,158
"E29.55N-2.79",2,"yellow",109,77,158
"E29.43N-1.94",2,"yellow",109,77,158
"E29.45N-2.65",2,"yellow",109,77,158
"E29.41N-1.91",2,"yellow",109,77,158
"E29.45N-1.61",2,"yellow",109,77,158
"E29.42N-1.55",2,"yellow",109,77,158
"E29.51N-1.54",2,"yellow",109,77,158
"E29.52N-1.53",2,"yellow",109,77,158
"E29.51N-1.44",2,"yellow",109,77,158
"E29.61N-1.42",2,"yellow",109,77,158
"E29.39N-2.57",2,"yellow",109,77,158
"E29.4N-2.57",2,"yellow",109,77,158
